('Spain', 0.8702485747635749)
('Sweden', 0.8505037684782537)
('Austria', 0.8299837442098003)
('Italy', 0.8253912134814977)
('Belgium', 0.7961821982394844)
('Germany', 0.7948161864278371)
('Denmark', 0.7893680455091527)
('Netherlands', 0.7807787392000206)
('France', 0.7746545510507258)
('Télévisions', 0.7716498253754775)
('Greece', 0.7558830247386636)
('Norway', 0.7541050992593811)
('Switzerland', 0.7517769591673106)
('Vichy', 0.745538486607257)
('Finland', 0.6759887343645502)
('United_Kingdom', 0.6698768538325482)
('Britain', 0.6679336996055592)
('Hamburg', 0.6650048807657266)
('Bavaria', 0.6579213304214235)
('Naples', 0.6347596457570256)
