('Spain', 0.8906792726354639)
('Denmark', 0.8279615295245265)
('Portugal', 0.8014093127121343)
('Italy', 0.7981949936781382)
('Austria', 0.7980062232566854)
('Egypt', 0.7974319192421151)
('Greece', 0.79333733273262)
('Belgium', 0.7869256526311962)
('Russia', 0.7837635293266777)
('Sweden', 0.7689552247823921)
('Germany', 0.7560032849838786)
('Romania', 0.7452909337593283)
('Poland', 0.7366869021928805)
('Hungary', 0.7349417209397026)
('Norway', 0.7327898733014503)
('Turkey', 0.7319138771962895)
('Athens', 0.724244571544241)
('France', 0.7125803324283794)
('Czechoslovakia', 0.7101006729562918)
('Albania', 0.7070305540242625)
