('England', 1.0000000000000002)
('Scotland', 0.765322552073477)
('Wales', 0.7478510376923002)
('Ireland', 0.6366539882814614)
('Britain', 0.6276934934922264)
('Sweden', 0.5825714324814112)
('Manchester', 0.5760469460610002)
('Spain', 0.574909632117096)
('London', 0.565893169716841)
('Hampshire', 0.5615731373401424)
('Liverpool', 0.5612413842726215)
('Germany', 0.5573954995729662)
('Plymouth', 0.5507652219876225)
('Guinea', 0.5497515696625304)
('Delhi', 0.5461522873621786)
('Italy', 0.5439980883091272)
('Denmark', 0.5428639339341483)
('Mexico', 0.5409372587350577)
('Somerset', 0.5361366382100825)
('Granada', 0.5349322323291916)
